question,options,correct_answer,category,difficulty,fun_fact,source,grade_range,active
"What literary device is it when an author hints at future events in the story?","[""Flashback"",""Foreshadowing"",""Metaphor"",""Irony""]",1,Literature,easy,"Foreshadowing builds tension and suspense by subtly preparing the reader for what is to come.",Khan Academy – Literary Devices,Y6-Y11,true
"Who wrote the dystopian novel '1984'?","[""Aldous Huxley"",""George Orwell"",""Ray Bradbury"",""H.G. Wells""]",1,Literature,medium,"George Orwell (Eric Arthur Blair) wrote 1984 in 1948. The title came from reversing the last two digits of the year.",BBC – George Orwell,Y6-Y11,true
"What is the term for a 14-line poem with a specific rhyme scheme?","[""Haiku"",""Limerick"",""Sonnet"",""Ballad""]",2,Literature,medium,"Shakespeare wrote 154 sonnets. The Petrarchan and Shakespearean sonnets have different rhyme schemes.",Royal Shakespeare Company – Sonnets,Y6-Y11,true
"Who wrote 'Pride and Prejudice'?","[""Charlotte Bronte"",""Emily Bronte"",""Mary Shelley"",""Jane Austen""]",3,Literature,medium,"Jane Austen published Pride and Prejudice in 1813. The opening line is one of the most famous in English literature.",British Library – Jane Austen,Y6-Y11,true
"What is the term for giving human qualities to non-human objects or animals?","[""Metaphor"",""Simile"",""Personification"",""Alliteration""]",2,Literature,medium,"Personification appears in phrases like 'the wind whispered' or 'the sun smiled on us'.",Khan Academy – Literary Devices,Y6-Y11,true
"In which country is Khaled Hosseini's novel 'The Kite Runner' set?","[""Iraq"",""Pakistan"",""Iran"",""Afghanistan""]",3,Literature,medium,"The Kite Runner (2003) follows a boy in Kabul before and after the Soviet invasion of Afghanistan.",Penguin Books – The Kite Runner,Y6-Y11,true
"Which novel begins with 'It was the best of times it was the worst of times'?","[""Oliver Twist"",""David Copperfield"",""Great Expectations"",""A Tale of Two Cities""]",3,Literature,medium,"A Tale of Two Cities by Charles Dickens (1859) is set during the French Revolution.",British Library – Dickens,Y6-Y11,true
"What was the pen name of Vietnamese poet Nguyễn Khuyến who satirised colonial society?","[""Tố Như"",""Thanh Hiên"",""Yên Đổ"",""Xuân Diệu""]",2,Literature,medium,"Nguyễn Khuyến, known by the pen name Yên Đổ, was celebrated for satirical poetry and village landscapes.",Vietnam Literature Institute,Y6-Y11,true
"In which novel does the character Atticus Finch defend a Black man falsely accused of a crime in the American South?","[""The Color Purple"",""Of Mice and Men"",""To Kill a Mockingbird"",""Beloved""]",2,Literature,medium,"To Kill a Mockingbird by Harper Lee (1960) won the Pulitzer Prize and remains a landmark of American literature.",Library of Congress – Harper Lee,Y6-Y11,true
"What literary movement emphasising emotion and nature dominated early 19th-century writing?","[""Realism"",""Modernism"",""Romanticism"",""Postmodernism""]",2,Literature,medium,"Romanticism elevated personal emotion and the natural world as a reaction against industrialisation.",Encyclopaedia Britannica – Romanticism,Y6-Y11,true
"Which ancient Greek poet is credited with writing 'The Iliad' and 'The Odyssey'?","[""Sophocles"",""Plato"",""Homer"",""Virgil""]",2,Literature,medium,"Homer composed the epics around the 8th century BC. Scholars debate whether one person or many wrote them.",Encyclopaedia Britannica – Homer,Y6-Y11,true
"Which Vietnamese poet is known for bold Nôm poetry that subversively celebrated female experience?","[""Nguyễn Du"",""Đoàn Thị Điểm"",""Hồ Xuân Hương"",""Nguyễn Trãi""]",2,Literature,hard,"Hồ Xuân Hương is called the Queen of Vietnamese poetry. Her double-meaning poems challenged Confucian norms.",Vietnam Literature Institute,Y6-Y11,true
"Who wrote 'One Hundred Years of Solitude', a landmark of magical realism?","[""Isabel Allende"",""Pablo Neruda"",""Mario Vargas Llosa"",""Gabriel García Márquez""]",3,Literature,hard,"Gabriel García Márquez won the Nobel Prize in Literature in 1982. His novel is set in the fictional Macondo.",Nobel Prize – García Márquez,Y6-Y11,true
"What is the term for the moment of greatest tension or the turning point in a story's plot?","[""Exposition"",""Rising action"",""Climax"",""Denouement""]",2,Literature,hard,"The plot structure follows: exposition, rising action, climax, falling action, and resolution (denouement).",Khan Academy – Plot Structure,Y6-Y11,true
"Which epic poem by Homer recounts the Trojan War?","[""The Odyssey"",""The Aeneid"",""The Iliad"",""The Epic of Gilgamesh""]",2,Literature,hard,"The Iliad spans 24 books and focuses on events during the final weeks of the 10-year Trojan War.",Encyclopaedia Britannica – The Iliad,Y6-Y11,true
"What is the term for a narrative technique where a story is told within another story?","[""Allegory"",""Epistolary"",""Frame narrative"",""Stream of consciousness""]",2,Literature,hard,"Frame narratives appear in 'One Thousand and One Nights', 'The Canterbury Tales', and 'Wuthering Heights'.",Khan Academy – Narrative Techniques,Y6-Y11,true
"Which Nobel Prize-winning author wrote 'The Old Man and the Sea'?","[""John Steinbeck"",""Ernest Hemingway"",""William Faulkner"",""F. Scott Fitzgerald""]",1,Literature,hard,"Ernest Hemingway won the Nobel Prize in 1954. The Old Man and the Sea (1952) exemplifies his minimalist style.",Nobel Prize – Hemingway,Y6-Y11,true
"What literary movement characterised by fragmentation dominated early 20th-century Western writing?","[""Romanticism"",""Realism"",""Modernism"",""Postmodernism""]",2,Literature,hard,"Modernism included writers like Virginia Woolf, James Joyce, and T.S. Eliot who experimented with form and narrative.",Encyclopaedia Britannica – Modernism,Y6-Y11,true
"In Homer's 'The Odyssey', what is the name of the enchantress who turns Odysseus's men into pigs?","[""Calypso"",""Circe"",""Scylla"",""Charybdis""]",1,Literature,hard,"Circe is a sorceress who lives on the island of Aeaea. Odysseus spends a year on her island before continuing his journey.",Encyclopaedia Britannica – Circe,Y6-Y11,true
